XPath,VCR_2005_EML,VCR_2006_EML,VCR_2007_EML,VCR_2008_EML,VCR_2009_EML,VCR_2010_EML,VCR_2011_EML,VCR_2012_EML,VCR_2013_EML,VCR_2014_EML,VCR_2015_EML,VCR_2016_EML,VCR_2017_EML,VCR_2018_EML
/eml:eml/dataset/alternateIdentifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,2.0,2.0,2.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.01,0.14,0.03,0.72,2.0,2.0,2.0
/eml:eml/dataset/contact/@id,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/contact/@scope,1.62,0.84,0.56,1.2,1.0,0.67,0.67,0.25,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,1.61,0.84,0.56,1.2,1.0,0.67,0.67,0.24,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,2.52,2.12,2.0,3.3,2.21,2.0,1.58,2.03,2.14,2.9,3.26,3.46,2.48,2.34
/eml:eml/dataset/contact/address/city,2.52,2.12,2.0,3.3,2.21,2.0,1.58,2.03,2.14,2.9,3.26,3.46,2.48,2.34
/eml:eml/dataset/contact/address/country,1.79,1.56,2.0,1.65,1.46,1.0,1.0,1.74,2.14,2.4,2.73,3.03,1.96,1.81
/eml:eml/dataset/contact/address/deliveryPoint,2.52,2.12,2.0,3.3,2.21,2.0,1.58,2.03,2.14,2.9,4.18,4.45,2.48,2.34
/eml:eml/dataset/contact/address/postalCode,2.52,2.12,2.0,3.3,2.21,2.0,1.58,1.99,2.14,2.9,3.26,3.45,2.46,2.29
/eml:eml/dataset/contact/electronicMailAddress,2.51,2.12,2.0,3.3,2.21,2.0,1.58,2.12,2.14,2.83,3.25,3.46,2.48,2.34
/eml:eml/dataset/contact/individualName/givenName,1.54,1.12,1.0,2.3,1.21,1.0,0.58,1.12,1.14,1.8,1.35,1.47,1.48,1.38
/eml:eml/dataset/contact/individualName/salutation,0.77,0.46,0.0,1.95,0.82,1.0,0.58,0.47,0.0,0.9,0.57,0.53,0.57,0.58
/eml:eml/dataset/contact/individualName/surName,1.54,1.12,1.0,2.3,1.21,1.0,0.58,1.12,1.14,1.9,1.36,1.47,1.48,1.39
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.92,1.99,1.0,1.0
/eml:eml/dataset/contact/organizationName,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0
/eml:eml/dataset/contact/phone,4.94,4.16,4.0,6.2,4.3,4.0,3.17,3.54,4.29,4.97,6.3,6.74,4.7,4.24
/eml:eml/dataset/contact/phone/@phonetype,4.94,4.16,4.0,6.2,4.3,4.0,3.17,3.54,4.29,4.97,6.3,6.74,4.7,4.24
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.99,1.99,1.0,1.0
/eml:eml/dataset/contact/userId,0.65,0.78,0.8,1.55,0.8,0.83,0.42,0.97,1.14,1.53,1.28,2.31,2.06,1.97
/eml:eml/dataset/contact/userId/@directory,0.65,0.78,0.8,1.55,0.8,0.83,0.42,0.97,1.14,1.53,1.28,2.31,2.06,1.97
/eml:eml/dataset/coverage/@scope,0.62,0.4,0.28,0.3,0.45,0.33,0.42,0.13,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,1.62,0.48,0.4,3.15,2.39,0.67,0.42,0.16,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,0.61,0.5,0.0,1.75,0.59,1.0,0.5,0.55,0.43,1.83,0.5,0.36,0.44,0.32
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,0.61,0.5,0.0,1.75,0.59,1.0,0.5,0.55,0.43,1.83,0.5,0.36,0.44,0.32
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,0.61,0.5,0.0,1.75,0.59,1.0,0.5,0.55,0.43,1.83,0.5,0.36,0.44,0.32
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2.66,1.24,1.64,9.65,5.11,2.0,1.0,2.45,4.0,2.37,2.77,3.8,2.54,2.51
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2.66,1.24,1.64,9.65,5.11,2.0,1.0,2.45,4.0,2.37,2.77,3.8,2.54,2.51
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2.66,1.24,1.64,9.65,5.11,2.0,1.0,2.45,4.0,2.37,2.77,3.8,2.54,2.51
