Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2018,121.20.xml,1.0,28.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,337.0,0.0,0.0,0.0,1.0
2018,124.24.xml,1.0,14.0,1.0,3.0,3.0,0.0,3.0,7.0,1.0,7.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,382.0,0.0,0.0,0.0,7.0
2018,127.15.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,100.0,1.0,1.0,1.0,1.0
2018,129.17.xml,0.0,8.0,1.0,3.0,3.0,0.0,3.0,6.0,1.0,6.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,0.0,0.0,1.0,175.0,0.0,0.0,0.0,6.0
2018,13.16.xml,0.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,173.0,1.0,1.0,1.0,1.0
2018,14.17.xml,1.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,241.0,1.0,1.0,1.0,1.0
2018,142.18.xml,1.0,8.0,1.0,1.0,1.0,0.0,0.0,13.0,1.0,13.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,1.0,1.0,0.0,1.0,166.0,0.0,0.0,0.0,13.0
2018,144.20.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,253.0,0.0,0.0,0.0,1.0
2018,145.19.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,310.0,0.0,0.0,0.0,1.0
2018,146.21.xml,0.0,19.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,198.0,1.0,1.0,1.0,1.0
2018,147.24.xml,1.0,17.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,174.0,1.0,1.0,1.0,1.0
2018,15.19.xml,1.0,19.0,1.0,1.0,1.0,0.0,1.0,28.0,1.0,27.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,28.0,0.0,1.0,0.0,1.0,250.0,0.0,0.0,0.0,27.0
2018,150.19.xml,1.0,250.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,947.0,0.0,0.0,0.0,1.0
2018,151.20.xml,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,248.0,0.0,0.0,0.0,2.0
2018,152.22.xml,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,238.0,0.0,0.0,0.0,1.0
2018,153.20.xml,1.0,6.0,1.0,6.0,6.0,0.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,240.0,0.0,0.0,0.0,3.0
2018,153.21.xml,1.0,6.0,1.0,6.0,6.0,0.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,242.0,0.0,0.0,0.0,3.0
2018,159.18.xml,1.0,6.0,1.0,4.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,205.0,0.0,0.0,0.0,1.0
2018,16.16.xml,0.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,249.0,1.0,1.0,1.0,1.0
2018,166.17.xml,1.0,14.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,238.0,0.0,0.0,0.0,1.0
2018,17.16.xml,0.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,231.0,1.0,1.0,1.0,1.0
2018,172.18.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,224.0,0.0,0.0,0.0,1.0
2018,173.18.xml,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,207.0,0.0,0.0,0.0,2.0
2018,176.16.xml,1.0,17.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,184.0,0.0,0.0,0.0,1.0
2018,177.21.xml,1.0,10.0,1.0,4.0,4.0,0.0,3.0,13.0,1.0,13.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,13.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,1.0,1.0,0.0,1.0,410.0,0.0,0.0,0.0,13.0
2018,179.19.xml,1.0,0.0,0.0,10.0,10.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,159.0,0.0,0.0,0.0,2.0
2018,18.19.xml,1.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,185.0,1.0,1.0,1.0,1.0
2018,180.17.xml,1.0,16.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,204.0,0.0,0.0,0.0,1.0
