Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Metadata Access Constraints,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Westernmost Longitude
2017,19.23.xml,1.0,28.0,1.0,2.0,2.0,0.0,2.0,11.0,1.0,11.0,1.0,1.0,1.0,19.0,0.0,6.0,1.0,1.0,11.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,1.0,0.0,1.0,316.0,11.0
2017,21.17.xml,1.0,39.0,3.0,6.0,6.0,6.0,6.0,3.0,1.0,3.0,1.0,3.0,3.0,34.0,3.0,8.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,372.0,3.0
2017,24.17.xml,1.0,16.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,14.0,0.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,204.0,3.0
2017,25.18.xml,1.0,26.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,25.0,0.0,6.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,227.0,5.0
2017,26.16.xml,1.0,26.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,25.0,0.0,5.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,222.0,5.0
2017,28.23.xml,1.0,24.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,29.0,0.0,7.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,237.0,5.0
2017,29.15.xml,1.0,12.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,27.0,0.0,6.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,274.0,5.0
2017,30.15.xml,1.0,31.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,24.0,0.0,7.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,242.0,5.0
2017,34.13.xml,1.0,29.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,28.0,0.0,6.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,238.0,5.0
2017,36.11.xml,1.0,4.0,1.0,2.0,2.0,0.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,16.0,0.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,162.0,4.0
2017,49.10.xml,1.0,26.0,1.0,3.0,3.0,0.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,32.0,0.0,6.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,237.0,4.0
2017,51.6.xml,1.0,15.0,2.0,2.0,2.0,0.0,2.0,8.0,1.0,8.0,1.0,2.0,2.0,29.0,0.0,8.0,1.0,1.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,1.0,0.0,1.0,189.0,8.0
2017,52.5.xml,1.0,9.0,1.0,5.0,5.0,0.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,30.0,0.0,5.0,1.0,1.0,7.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,201.0,7.0
2017,52.6.xml,1.0,9.0,1.0,5.0,5.0,0.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,30.0,0.0,5.0,1.0,1.0,7.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,202.0,7.0
2017,61.5.xml,1.0,11.0,2.0,4.0,4.0,0.0,4.0,21.0,1.0,21.0,1.0,2.0,2.0,34.0,0.0,5.0,1.0,1.0,21.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,21.0,1.0,0.0,1.0,209.0,21.0
2017,74.10.xml,1.0,0.0,0.0,4.0,4.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,26.0,0.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,123.0,1.0
2017,77.2.xml,1.0,17.0,2.0,2.0,2.0,0.0,2.0,14.0,1.0,14.0,1.0,2.0,2.0,29.0,0.0,6.0,1.0,1.0,13.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,1.0,0.0,1.0,226.0,14.0
