Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Metadata Access Constraints,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2016,50.3.xml,1.0,17.0,1.0,2.0,2.0,2.0,2.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,33.0,3.0,6.0,1.0,1.0,11.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,0.0,1.0,257.0,0.0,0.0,0.0,11.0
2016,52.4.xml,1.0,9.0,1.0,5.0,5.0,5.0,3.0,7.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,30.0,3.0,6.0,1.0,1.0,7.0,2.0,1.0,10.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,374.0,0.0,0.0,0.0,7.0
2016,57.7.xml,1.0,17.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,0.0,47.0,3.0,6.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,281.0,0.0,0.0,0.0,4.0
2016,73.4.xml,1.0,4.0,1.0,7.0,7.0,7.0,7.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,29.0,3.0,7.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,325.0,0.0,0.0,0.0,3.0
2016,73.5.xml,1.0,4.0,1.0,7.0,7.0,7.0,7.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,28.0,3.0,6.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,323.0,0.0,0.0,0.0,3.0
2016,75.2.xml,1.0,55.0,1.0,8.0,8.0,8.0,7.0,9.0,0.0,0.0,1.0,9.0,1.0,1.0,1.0,0.0,20.0,2.0,3.0,1.0,1.0,9.0,3.0,1.0,9.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0,9.0,1.0,0.0,1.0,455.0,1.0,2.0,1.0,9.0
2016,86.1.xml,1.0,11.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,6.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,203.0,0.0,0.0,0.0,2.0
2016,86.10.xml,1.0,11.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,6.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,203.0,0.0,0.0,0.0,2.0
2016,93.1.xml,1.0,21.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,5.0,5.0,0.0,29.0,2.0,5.0,1.0,1.0,3.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,352.0,0.0,0.0,0.0,3.0
2016,93.10.xml,1.0,21.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,5.0,5.0,0.0,31.0,2.0,5.0,1.0,1.0,3.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,352.0,0.0,0.0,0.0,3.0
2016,97.1.xml,1.0,7.0,1.0,4.0,4.0,4.0,4.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,28.0,3.0,7.0,1.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,238.0,1.0,1.0,1.0,11.0
2016,99.1.xml,1.0,16.0,2.0,5.0,5.0,5.0,5.0,11.0,0.0,0.0,1.0,11.0,0.0,2.0,2.0,0.0,8.0,1.0,3.0,1.0,1.0,10.0,3.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,11.0,0.0,1.0,0.0,403.0,0.0,0.0,0.0,11.0
