Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator Identifier Type,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2015,1106.6.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,485.0,1.0,1.0,1.0,1.0
2015,1107.6.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,485.0,1.0,1.0,1.0,1.0
2015,1108.6.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,486.0,1.0,1.0,1.0,1.0
2015,1109.5.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,486.0,1.0,1.0,1.0,1.0
2015,1110.5.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,485.0,1.0,1.0,1.0,1.0
2015,1111.5.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,507.0,1.0,1.0,1.0,1.0
2015,1112.5.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,508.0,1.0,1.0,1.0,1.0
2015,1113.5.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,486.0,1.0,1.0,1.0,1.0
2015,1114.5.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,505.0,1.0,1.0,1.0,1.0
2015,1115.5.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,505.0,1.0,1.0,1.0,1.0
2015,1116.5.xml,1.0,0.0,41.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,15.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,505.0,1.0,1.0,1.0,1.0
2015,12.9.xml,1.0,0.0,18.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,10.0,10.0,1.0,0.0,0.0,1.0,286.0,0.0,0.0,0.0,10.0
2015,1201.5.xml,1.0,0.0,18.0,1.0,5.0,5.0,0.0,5.0,0.0,5.0,10.0,3.0,3.0,1.0,10.0,1.0,1.0,1.0,5.0,14.0,1.0,2.0,0.0,1.0,0.0,1.0,8.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,7.0,10.0,1.0,0.0,0.0,1.0,381.0,1.0,1.0,1.0,10.0
2015,1202.5.xml,1.0,0.0,18.0,1.0,5.0,5.0,0.0,5.0,0.0,5.0,10.0,3.0,3.0,1.0,10.0,1.0,1.0,1.0,5.0,14.0,1.0,2.0,0.0,1.0,0.0,1.0,8.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,7.0,10.0,1.0,0.0,0.0,1.0,381.0,1.0,1.0,1.0,10.0
2015,1203.5.xml,1.0,0.0,18.0,1.0,5.0,5.0,0.0,5.0,0.0,5.0,10.0,3.0,3.0,1.0,10.0,1.0,1.0,1.0,5.0,14.0,1.0,2.0,0.0,1.0,0.0,1.0,8.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,7.0,10.0,1.0,0.0,0.0,1.0,381.0,1.0,1.0,1.0,10.0
