XPath,CCE_2007_EML,CCE_2010_EML,CCE_2015_EML,CCE_2016_EML,CCE_2017_EML,CCE_2018_EML
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,0.0,0.0,0.0,0.1176470588235294,0.045454545454545456,0.25
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,0.0,0.0,0.0,0.1176470588235294,0.045454545454545456,0.25
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/externalCodeSet/codesetName,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/externalCodeSet/codesetURL,0.0,0.125,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,0.0,0.375,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/definition,0.0,0.0,0.05,0.04411764705882353,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,1.0,0.875,0.975,0.9852941176470588,0.9659090909090908,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,0.5,0.75,0.975,0.9852941176470588,0.9659090909090908,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,0.5,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/method/methodStep/description/para,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/method/methodStep/description/section/para,0.5,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/method/methodStep/description/section/title,0.5,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/methods/methodStep/description,0.0,0.25,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,1.0,1.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,1.0,1.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,0.5,0.625,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,1.0,1.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/entityDescription,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/entityName,1.0,1.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/characterEncoding,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/literalCharacter,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/distribution/online/url,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/distribution/online/url/@function,0.0,0.0,0.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/dataTable/physical/objectName,0.0,0.0,1.0,1.0,0.9772727272727272,1.0
/eml:eml/dataset/distribution/@scope,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/distribution/online/url,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/distribution/online/url/@function,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/intellectualRights/para,0.5,0.75,0.0,1.0,1.0,1.0
