Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2012,2002.3.xml,1.0,8.0,30.0,8.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,8.0,8.0,0.0,27.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,406.0,0.0,0.0,0.0,2.0
2012,2003.1.xml,1.0,1.0,25.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,30.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,250.0,0.0,0.0,0.0,1.0
2012,2003.3.xml,1.0,1.0,25.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,30.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,313.0,0.0,0.0,0.0,1.0
2012,4005.2.xml,1.0,3.0,41.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,17.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,415.0,0.0,0.0,0.0,2.0
2012,4005.3.xml,1.0,3.0,41.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,17.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,415.0,0.0,0.0,0.0,2.0
2012,4005.4.xml,1.0,3.0,41.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,17.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,415.0,0.0,0.0,0.0,2.0
2012,4005.5.xml,1.0,3.0,41.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,17.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,415.0,0.0,0.0,0.0,2.0
2012,4005.6.xml,1.0,3.0,41.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,17.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,422.0,0.0,0.0,0.0,2.0
2012,4005.7.xml,1.0,3.0,41.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,17.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,414.0,0.0,0.0,0.0,2.0
2012,5005.4.xml,1.0,3.0,24.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,25.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,364.0,0.0,0.0,0.0,1.0
2012,5006.2.xml,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,0.0,34.0,3.0,6.0,1.0,1.0,0.0,1.0,1.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,386.0,0.0,0.0,0.0,7.0
2012,6002.3.xml,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,194.0,0.0,0.0,0.0,1.0
2012,6002.4.xml,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,193.0,0.0,0.0,0.0,1.0
2012,6003.1.xml,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,176.0,0.0,0.0,0.0,2.0
2012,6004.2.xml,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,1.0
2012,7001.1.xml,1.0,0.0,19.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,0.0,39.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,381.0,0.0,0.0,0.0,2.0
2012,7002.1.xml,1.0,0.0,23.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,28.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,343.0,0.0,0.0,0.0,3.0
2012,7003.1.xml,1.0,0.0,10.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,38.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,265.0,0.0,0.0,0.0,3.0
2012,7003.2.xml,1.0,0.0,10.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,38.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,272.0,0.0,0.0,0.0,3.0
2012,7004.1.xml,1.0,0.0,16.0,3.0,3.0,3.0,1.0,3.0,1.0,7.0,2.0,1.0,1.0,7.0,1.0,3.0,3.0,0.0,23.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,354.0,0.0,0.0,0.0,7.0
2012,7005.1.xml,1.0,0.0,68.0,9.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,0.0,39.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,570.0,0.0,0.0,0.0,1.0
2012,7006.1.xml,1.0,0.0,12.0,2.0,5.0,5.0,1.0,5.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,34.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,256.0,0.0,0.0,0.0,2.0
2012,7007.1.xml,1.0,0.0,9.0,2.0,5.0,5.0,1.0,5.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,29.0,3.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,231.0,0.0,0.0,0.0,2.0
2012,7008.1.xml,1.0,0.0,26.0,7.0,5.0,5.0,1.0,5.0,3.0,7.0,0.0,0.0,1.0,7.0,1.0,7.0,7.0,0.0,44.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,1.0,593.0,0.0,0.0,0.0,7.0
2012,7009.1.xml,1.0,0.0,24.0,2.0,5.0,5.0,1.0,5.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,27.0,3.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,364.0,0.0,0.0,0.0,2.0
2012,7009.2.xml,1.0,0.0,24.0,2.0,5.0,5.0,1.0,5.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,27.0,3.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,364.0,0.0,0.0,0.0,2.0
2012,7010.1.xml,1.0,0.0,14.0,1.0,5.0,5.0,1.0,5.0,3.0,7.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,0.0,22.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,1.0,305.0,0.0,0.0,0.0,7.0
