XPath,1035.10.xml,1038.4.xml,1039.4.xml,19.15.xml,2.16.xml,20.16.xml,2003.2.xml,2003.3.xml,2004.3.xml,2004.4.xml,2008.2.xml,3.18.xml,30.29.xml,31.33.xml,32.25.xml,32.26.xml,32.29.xml,4.32.xml,4.33.xml,4009.1.xml,5.23.xml,5008.2.xml,5008.4.xml,5013.3.xml,5014.1.xml,5015.1.xml,5016.1.xml,5016.2.xml,6001.3.xml,8.28.xml,9.33.xml,9.34.xml,9.40.xml
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2.0,0.0,0.0,5.0,0.0,2.0,2.0,2.0,9.0,9.0,6.0,0.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2.0,2.0,1.0,7.0,2.0,3.0,4.0,4.0,9.0,9.0,13.0,1.0,12.0,12.0,0.0,0.0,12.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,15.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,1.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2.0,2.0,1.0,7.0,2.0,3.0,4.0,4.0,9.0,9.0,13.0,1.0,12.0,12.0,0.0,0.0,12.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,15.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,1.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,0.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,1.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,7.0,7.0,6.0,1.0,9.0,9.0,0.0,0.0,9.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,9.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2.0,2.0,1.0,7.0,2.0,3.0,4.0,4.0,9.0,9.0,13.0,1.0,12.0,12.0,0.0,0.0,12.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,15.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0
