XPath,4009.2.xml,5019.1.xml,5022.1.xml,5022.9.xml,5023.1.xml,5023.2.xml,5024.10.xml,5025.10.xml,6.55.xml
/eml:eml/dataset/creator/userId,2.0,0.0,0.0,2.0,5.0,5.0,1.0,1.0,1.0
/eml:eml/dataset/creator/userId/@directory,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/dataTable/@id,2.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/additionalInfo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList,2.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,41.0,28.0,26.0,26.0,5.0,5.0,0.0,0.0,55.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,34.0,13.0,13.0,12.0,5.0,5.0,0.0,0.0,37.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,33.0,13.0,12.0,12.0,5.0,5.0,0.0,0.0,34.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,34.0,13.0,12.0,12.0,5.0,5.0,0.0,0.0,36.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimePrecision,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,10.0,6.0,4.0,4.0,8.0,8.0,0.0,0.0,24.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,10.0,8.0,6.0,6.0,8.0,8.0,0.0,0.0,27.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/@enforced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/definition,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
