Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2015,5008.2.xml,1.0,0.0,75.0,11.0,4.0,4.0,1.0,4.0,2.0,7.0,1.0,1.0,2.0,7.0,1.0,11.0,11.0,0.0,20.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,7.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,686.0,0.0,0.0,0.0,7.0
2015,5008.4.xml,1.0,0.0,75.0,11.0,4.0,4.0,1.0,4.0,2.0,7.0,1.0,1.0,2.0,7.0,1.0,11.0,11.0,0.0,20.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,7.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,686.0,0.0,0.0,0.0,7.0
2015,5013.3.xml,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,7.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,34.0,3.0,7.0,1.0,1.0,0.0,0.0,1.0,7.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,244.0,0.0,0.0,0.0,7.0
2015,5014.1.xml,1.0,0.0,86.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,28.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,639.0,0.0,0.0,0.0,1.0
2015,5015.1.xml,1.0,0.0,86.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,28.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,637.0,0.0,0.0,0.0,1.0
2015,5016.1.xml,1.0,0.0,7.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,218.0,0.0,0.0,0.0,3.0
2015,5016.2.xml,1.0,0.0,7.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,230.0,0.0,0.0,0.0,3.0
2015,6001.3.xml,1.0,4.0,18.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,36.0,2.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,481.0,0.0,0.0,0.0,0.0
2015,8.28.xml,1.0,1.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,26.0,3.0,7.0,1.0,1.0,0.0,0.0,1.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,356.0,0.0,0.0,0.0,7.0
2015,9.33.xml,1.0,0.0,67.0,6.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,0.0,36.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,449.0,0.0,0.0,0.0,1.0
2015,9.34.xml,1.0,0.0,67.0,6.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,0.0,36.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,449.0,0.0,0.0,0.0,1.0
2015,9.40.xml,1.0,0.0,67.0,6.0,3.0,3.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,0.0,34.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,496.0,0.0,0.0,0.0,1.0
