Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator World Wide Web Address,Bounding Box,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Process Step,Project Description,Project Name,Publication Date,Publisher,Publisher E-Mail,Publisher URL,Purpose,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Temporal Extent,Unknown,Westernmost Longitude
2012,71.3.xml,1.0,19.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,188.0,1.0
2012,72.3.xml,1.0,9.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,143.0,1.0
2012,72.4.xml,1.0,9.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,143.0,1.0
2012,73.3.xml,1.0,15.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,187.0,1.0
2012,73.4.xml,1.0,15.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,187.0,1.0
2012,73.5.xml,1.0,15.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,187.0,1.0
2012,76.2.xml,1.0,22.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,257.0,1.0
2012,78.2.xml,1.0,11.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,164.0,1.0
2012,78.3.xml,1.0,12.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,151.0,1.0
2012,79.2.xml,1.0,16.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,191.0,1.0
2012,79.3.xml,1.0,16.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,191.0,1.0
2012,79.4.xml,1.0,16.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,191.0,1.0
2012,80.2.xml,1.0,16.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,169.0,1.0
2012,81.2.xml,1.0,19.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,266.0,1.0
2012,83.2.xml,1.0,17.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,197.0,1.0
2012,86.2.xml,1.0,8.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,191.0,1.0
2012,86.3.xml,1.0,8.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193.0,1.0
2012,86.4.xml,1.0,8.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193.0,1.0
