XPath,AND_2005_EML,AND_2006_EML,AND_2007_EML,AND_2008_EML,AND_2009_EML,AND_2010_EML,AND_2011_EML,AND_2012_EML,AND_2013_EML,AND_2014_EML,AND_2015_EML,AND_2016_EML,AND_2017_EML,AND_2018_EML
/eml:eml/dataset/access/allow/permission,0.3641304347826087,0.42857142857142855,0.3157894736842105,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,0.3641304347826087,0.42857142857142855,0.3157894736842105,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo,0.059782608695652176,0.14285714285714285,0.15789473684210525,0.0,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.016260162601626018,0.030303030303030307,0.0,0.0
/eml:eml/dataset/additionalInfo/para,0.5163043478260869,0.7857142857142857,0.21052631578947367,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.4166666666666667,0.5365853658536586,0.7575757575757576,0.13333333333333333,1.0
/eml:eml/dataset/additionalInfo/para/emphasis,0.125,0.21428571428571427,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2845528455284553,0.6060606060606061,0.06666666666666668,1.0
/eml:eml/dataset/additionalInfo/para/itemizedlist/listitem/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030307,0.0,0.0
/eml:eml/dataset/additionalInfo/para/literalLayout,0.09782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,0.8478260869565217,0.8571428571428571,0.8421052631578947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,1.0
/eml:eml/dataset/associatedParty/@scope,0.6304347826086957,0.5714285714285714,0.3684210526315789,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/associatedParty/address/@scope,0.6304347826086957,0.5714285714285714,0.3684210526315789,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
