XPath,2017-11_Re3data,2018-02_Re3data
/r3d:re3data/r3d:repository/r3d:entryDate,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionAdditionalName,90.09%,90.00%
/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionAdditionalName/@language,90.09%,90.00%
/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionContact,87.56%,87.24%
/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionCountry,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionIdentifier,3.49%,4.29%
/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionName,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionName/@language,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionType,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:institution/r3d:institutionURL,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:institution/r3d:responsibilityEndDate,6.42%,6.45%
/r3d:re3data/r3d:repository/r3d:institution/r3d:responsibilityStartDate,19.77%,19.70%
/r3d:re3data/r3d:repository/r3d:institution/r3d:responsibilityType,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:keyword,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:lastUpdate,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:metadataStandard/r3d:metadataStandardName,28.67%,29.85%
/r3d:re3data/r3d:repository/r3d:metadataStandard/r3d:metadataStandardName/@metadataStandardScheme,28.67%,29.85%
/r3d:re3data/r3d:repository/r3d:metadataStandard/r3d:metadataStandardURL,28.67%,29.85%
/r3d:re3data/r3d:repository/r3d:missionStatementURL,81.19%,82.02%
/r3d:re3data/r3d:repository/r3d:pidSystem,95.40%,95.02%
/r3d:re3data/r3d:repository/r3d:policy/r3d:policyName,87.66%,87.88%
/r3d:re3data/r3d:repository/r3d:policy/r3d:policyURL,87.66%,87.88%
/r3d:re3data/r3d:repository/r3d:providerType,99.75%,99.75%
/r3d:re3data/r3d:repository/r3d:qualityManagement,98.43%,99.01%
/r3d:re3data/r3d:repository/r3d:re3data.orgIdentifier,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:remarks,67.85%,66.95%
/r3d:re3data/r3d:repository/r3d:repositoryContact,85.19%,86.55%
/r3d:re3data/r3d:repository/r3d:repositoryIdentifier,26.79%,27.24%
/r3d:re3data/r3d:repository/r3d:repositoryLanguage,99.65%,99.70%
/r3d:re3data/r3d:repository/r3d:repositoryName,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:repositoryName/@language,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:repositoryURL,99.95%,100.00%
/r3d:re3data/r3d:repository/r3d:size,38.83%,39.31%
/r3d:re3data/r3d:repository/r3d:size/@updated,100.00%,100.00%
/r3d:re3data/r3d:repository/r3d:software/r3d:softwareName,83.82%,83.99%
/r3d:re3data/r3d:repository/r3d:startDate,71.08%,70.69%
/r3d:re3data/r3d:repository/r3d:subject,99.14%,99.16%
/r3d:re3data/r3d:repository/r3d:subject/@subjectScheme,99.14%,99.16%
/r3d:re3data/r3d:repository/r3d:syndication,28.36%,28.03%
/r3d:re3data/r3d:repository/r3d:syndication/@syndicationType,28.36%,28.03%
/r3d:re3data/r3d:repository/r3d:type,99.39%,99.36%
/r3d:re3data/r3d:repository/r3d:versioning,47.42%,47.54%
Number of Records,100.00%,100.00%
