XPath,PIE_2005_EML,PIE_2007_EML,PIE_2009_EML,PIE_2010_EML,PIE_2011_EML,PIE_2012_EML,PIE_2013_EML,PIE_2014_EML,PIE_2015_EML,PIE_2016_EML,PIE_2017_EML,PIE_2018_EML
/eml:eml/dataset/contact/individualName/givenName,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0947867298578199,0.0,0.0,0.05263157894736842
/eml:eml/dataset/contact/individualName/surName,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.8666666666666667,0.3222748815165877,0.0,0.0,0.05263157894736842
/eml:eml/dataset/contact/onlineUrl,1.0,1.0,1.0,1.0,1.0,1.0,0.4615384615384616,0.13333333333333333,1.0,1.0,1.0,0.9473684210526316
/eml:eml/dataset/contact/organizationName,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.8666666666666667,1.0,0.9910714285714286,0.0,0.9473684210526316
/eml:eml/dataset/contact/phone,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684
/eml:eml/dataset/contact/phone/@phonetype,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10526315789473684
/eml:eml/dataset/contact/positionName,1.0,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,1.0,1.0,1.0,1.0,0.05263157894736842
/eml:eml/dataset/coverage/@scope,0.546583850931677,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@id,1.0,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.05263157894736842
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.546583850931677,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,0.18012422360248448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,0.18012422360248448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,0.18012422360248448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.9440993788819876,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.9440993788819876,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.9440993788819876,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.9440993788819876,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,0.9875776397515528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/@scope,0.018633540372670808,0.13978494623655913,0.2,0.0,0.3333333333333333,0.10666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/taxonomicCoverage/generalTaxonomicCoverage,0.08074534161490682,0.3978494623655914,0.8,0.125,0.0,0.5466666666666666,0.2,0.0,0.3412322274881517,0.3928571428571429,0.6666666666666666,0.05263157894736842
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,0.09316770186335403,0.5268817204301075,1.0,0.125,0.3333333333333333,0.5466666666666666,0.2,0.0,0.3412322274881517,0.3928571428571429,0.6666666666666666,0.05263157894736842
