Collection,Record,/eml:eml/@packageId,/eml:eml/@system,/eml:eml/@xsi:schemaLocation,/eml:eml/access/@authSystem,/eml:eml/access/@order,/eml:eml/access/@scope,/eml:eml/access/@system,/eml:eml/access/allow/permission,/eml:eml/access/allow/principal,/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,/eml:eml/additionalMetadata/metadata/unitList/unit/@id,/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,/eml:eml/additionalMetadata/metadata/unitList/unit/@name,/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,/eml:eml/additionalMetadata/metadata/unitList/unit/description,/eml:eml/dataset/@scope,/eml:eml/dataset/abstract/para,/eml:eml/dataset/contact/address/administrativeArea,/eml:eml/dataset/contact/address/city,/eml:eml/dataset/contact/address/country,/eml:eml/dataset/contact/address/deliveryPoint,/eml:eml/dataset/contact/address/postalCode,/eml:eml/dataset/contact/electronicMailAddress,/eml:eml/dataset/contact/positionName,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,/eml:eml/dataset/creator/@id,/eml:eml/dataset/creator/address/administrativeArea,/eml:eml/dataset/creator/address/city,/eml:eml/dataset/creator/address/country,/eml:eml/dataset/creator/address/deliveryPoint,/eml:eml/dataset/creator/address/postalCode,/eml:eml/dataset/creator/electronicMailAddress,/eml:eml/dataset/creator/individualName/givenName,/eml:eml/dataset/creator/individualName/surName,/eml:eml/dataset/creator/onlineUrl,/eml:eml/dataset/creator/organizationName,/eml:eml/dataset/distribution/online/url,/eml:eml/dataset/distribution/online/url/@function,/eml:eml/dataset/intellectualRights/para,/eml:eml/dataset/keywordSet/keyword,/eml:eml/dataset/keywordSet/keyword/@keywordType,/eml:eml/dataset/otherEntity/@id,/eml:eml/dataset/otherEntity/@system,/eml:eml/dataset/otherEntity/entityDescription,/eml:eml/dataset/otherEntity/entityName,/eml:eml/dataset/otherEntity/entityType,/eml:eml/dataset/otherEntity/physical/dataFormat/externallyDefinedFormat/formatName,/eml:eml/dataset/otherEntity/physical/distribution/online/onlineDescription,/eml:eml/dataset/otherEntity/physical/distribution/online/url,/eml:eml/dataset/otherEntity/physical/distribution/online/url/@function,/eml:eml/dataset/otherEntity/physical/objectName,/eml:eml/dataset/otherEntity/physical/size,/eml:eml/dataset/otherEntity/physical/size/@unit,/eml:eml/dataset/pubDate,/eml:eml/dataset/title
2008,164.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,165.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,166.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,167.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,169.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,170.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,171.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,172.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,173.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,174.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,175.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,181.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,182.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,183.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,184.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,185.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,186.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,187.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,188.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,189.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,190.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,191.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,192.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,193.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,194.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,195.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,196.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,197.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,198.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,199.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,200.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,201.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,202.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,203.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,204.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,207.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,208.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,209.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,210.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,211.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,212.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,213.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,214.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,216.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,217.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,218.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,219.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,220.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,221.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,222.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,223.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,224.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,225.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,226.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,227.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,228.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,229.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,230.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,231.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,232.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,233.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,234.570.xml,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,1,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,6,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
