XPath,BES_2005_EML,BES_2006_EML,BES_2008_EML,BES_2009_EML,BES_2010_EML,BES_2011_EML,BES_2012_EML,BES_2013_EML,BES_2015_EML,BES_2016_EML,BES_2017_EML,BES_2018_EML
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,0.15,0.3,4.0,0.27,0.6,0.11,0.81,3.92,4.17,0.68,0.05,0.97
/eml:eml/additionalMetadata/metadata/unitList/unit/description,0.15,0.3,4.0,0.27,0.6,0.11,0.81,3.92,4.17,0.68,0.05,0.97
/eml:eml/dataset/@scope,0.96,0.94,1.0,0.95,0.91,0.92,0.8,0.98,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para,1.15,1.36,8.62,1.66,2.74,1.19,4.93,12.9,17.21,20.59,13.57,13.72
/eml:eml/dataset/access/@authSystem,0.92,0.9,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@order,0.92,0.9,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/@scope,0.92,0.9,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/permission,1.85,1.77,0.0,1.86,1.7,1.95,1.48,0.04,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/allow/principal,1.85,1.77,0.0,1.86,1.7,1.95,1.48,0.04,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/deny/permission,0.0,0.02,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/access/deny/principal,0.0,0.02,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/alternateIdentifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.0
/eml:eml/dataset/alternateIdentifier/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.0
/eml:eml/dataset/contact/@scope,0.92,0.86,0.0,0.88,0.76,0.89,0.59,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/@scope,0.88,0.86,0.0,0.88,0.76,0.89,0.59,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/address/administrativeArea,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,1.97,1.0,1.0
/eml:eml/dataset/contact/address/city,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,1.97,1.0,1.0
/eml:eml/dataset/contact/address/country,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,1.97,1.0,1.0
/eml:eml/dataset/contact/address/deliveryPoint,1.92,1.99,2.0,2.0,2.0,2.0,2.0,2.0,3.46,3.93,2.0,2.0
/eml:eml/dataset/contact/address/postalCode,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,1.97,1.0,1.0
/eml:eml/dataset/contact/electronicMailAddress,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,1.97,1.0,1.0
/eml:eml/dataset/contact/individualName/givenName,0.92,0.92,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/individualName/surName,0.96,0.92,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/contact/onlineUrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.97,0.0,0.0
/eml:eml/dataset/contact/organizationName,0.92,0.92,0.0,0.93,0.85,0.97,0.8,0.02,0.73,0.97,0.0,0.0
/eml:eml/dataset/contact/phone,0.92,0.92,0.0,0.93,0.85,0.97,0.8,0.02,1.46,1.93,0.0,0.0
/eml:eml/dataset/contact/phone/@phonetype,1.85,1.84,0.0,1.86,1.7,1.95,1.59,0.04,1.46,1.93,0.0,0.0
/eml:eml/dataset/contact/positionName,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,1.97,1.0,1.0
/eml:eml/dataset/coverage/@scope,0.85,0.81,0.0,0.88,0.76,0.89,0.59,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.85,0.81,0.0,0.88,0.76,0.89,0.59,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,0.88,0.87,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,0.88,0.87,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,0.88,0.87,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.92,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.92,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.92,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.92,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,0.92,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/@id,0.08,0.15,2.0,0.14,0.3,0.05,0.41,1.96,2.0,2.08,2.29,2.35
/eml:eml/dataset/creator/@scope,0.92,0.86,0.0,0.88,0.76,0.89,0.59,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/address/administrativeArea,0.08,0.15,2.0,0.14,0.3,0.05,0.41,1.96,2.0,2.08,2.29,2.35
/eml:eml/dataset/creator/address/city,0.08,0.15,2.0,0.14,0.3,0.05,0.41,1.96,2.0,2.08,2.29,2.35
/eml:eml/dataset/creator/address/country,0.08,0.15,2.0,0.14,0.3,0.05,0.41,1.96,2.0,2.04,2.29,2.35
/eml:eml/dataset/creator/address/deliveryPoint,0.23,0.45,6.0,0.41,0.9,0.16,1.2,5.88,5.98,6.14,6.68,6.78
/eml:eml/dataset/creator/address/postalCode,0.08,0.15,2.0,0.14,0.3,0.05,0.41,1.96,2.0,2.07,2.29,2.35
/eml:eml/dataset/creator/electronicMailAddress,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.06,1.2,1.23
/eml:eml/dataset/creator/individualName/givenName,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.08,1.29,1.35
/eml:eml/dataset/creator/individualName/surName,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.08,1.29,1.35
/eml:eml/dataset/creator/onlineUrl,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,0.01,0.95,1.0
/eml:eml/dataset/creator/organizationName,0.08,0.15,2.0,0.14,0.3,0.05,0.41,1.96,2.0,2.04,2.0,2.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,9.35,3.76,2.72,6.58
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,9.35,3.76,2.72,6.58
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,9.35,3.76,2.72,6.58
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.33,0.23,0.15,0.17
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/maximum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,3.86,1.53,0.48,1.4
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/maximum/@exclusive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,3.86,1.53,0.48,1.4
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,3.86,1.53,0.49,1.4
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/minimum/@exclusive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,3.86,1.53,0.49,1.4
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,3.86,1.53,0.49,1.4
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,3.86,1.53,0.49,1.4
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,3.86,1.53,0.49,1.4
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,3.03,0.87,1.89,2.5
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.13,1.14,0.19,2.51
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.13,1.14,0.19,2.51
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.13,1.14,0.19,2.51
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.13,1.14,0.19,2.51
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.13,1.14,0.19,2.51
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.13,1.14,0.19,2.51
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.86,0.56,0.05,0.17
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.27,0.58,0.14,2.34
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,5.8,2.02,1.44,4.34
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,5.8,2.02,1.44,4.34
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,9.35,3.76,2.72,6.58
/eml:eml/dataset/dataTable/entityDescription,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/entityName,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/characterEncoding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numPhysicalLinesPerRecord,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/distribution/access/@authSystem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/distribution/access/@order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/distribution/access/@scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/distribution/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/distribution/access/allow/permission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.97,0.72,0.61,0.52
/eml:eml/dataset/dataTable/physical/distribution/access/allow/principal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.97,0.72,0.61,0.52
/eml:eml/dataset/dataTable/physical/distribution/online/onlineDescription,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/distribution/online/url,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/distribution/online/url/@function,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/objectName,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/dataTable/physical/size/@unit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.36,0.2,0.26
/eml:eml/dataset/distribution/@scope,0.92,0.86,0.0,0.88,0.76,0.89,0.59,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/distribution/online/url,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/distribution/online/url/@function,0.96,0.94,1.0,0.95,0.91,0.92,0.8,0.98,1.0,1.0,1.0,1.0
/eml:eml/dataset/intellectualRights/para,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.98,1.0,1.0,1.0,1.0
/eml:eml/dataset/keywordSet/keyword,1.94,1.95,2.0,1.99,2.19,1.86,4.45,14.63,14.76,10.6,5.71,6.75
/eml:eml/dataset/keywordSet/keyword/@keywordType,2.0,2.0,2.0,2.1,2.24,2.27,4.45,14.63,14.76,10.6,5.71,6.75
/eml:eml/dataset/methods/methodStep/description/section/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,2.83,4.28,2.6,0.89
/eml:eml/dataset/methods/methodStep/description/section/title,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,2.01,0.92,0.11,0.2
/eml:eml/dataset/otherEntity/@id,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/@system,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/entityDescription,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/entityName,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/entityType,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/physical/dataFormat/externallyDefinedFormat/formatName,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/physical/distribution/online/onlineDescription,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/physical/distribution/online/url,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/physical/distribution/online/url/@function,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/physical/objectName,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/physical/size,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/otherEntity/physical/size/@unit,0.04,0.08,1.0,0.07,0.15,0.03,0.2,0.03,0.07,0.7,0.92,0.87
/eml:eml/dataset/pubDate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/publisher/@scope,0.92,0.86,0.0,0.88,0.76,0.89,0.59,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/publisher/address/@scope,0.92,0.86,0.0,0.88,0.76,0.89,0.59,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/publisher/address/administrativeArea,0.96,0.92,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/publisher/address/city,0.96,0.92,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/publisher/address/deliveryPoint,2.88,2.77,0.0,2.8,2.55,2.92,2.39,0.06,0.0,0.0,0.0,0.0
/eml:eml/dataset/publisher/address/postalCode,0.96,0.92,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/publisher/organizationName,0.96,0.92,0.0,0.93,0.85,0.97,0.8,0.02,0.0,0.0,0.0,0.0
/eml:eml/dataset/title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Number of Records,52.0,1448.0,73.0,397.0,1373.0,37.0,69.0,106.0,118.0,177.0,161.0,115.0
