Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Process Step,Project Name,Publication Date,Publisher,Publisher E-Mail,Publisher URL,Purpose,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Quality Description,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2015,15.614155.xml,1.0,10.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,24.0,5.0,0.0,1.0,1.0,1.0,3.0,8.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,164.0,2.0,2.0,1.0,3.0
2015,15.614200.xml,1.0,10.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,11.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,186.0,3.0,3.0,1.0,3.0
2015,150.1142572.xml,1.0,58.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,3.0,4.0,4.0,0.0,5.0,4.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,218.0,0.0,0.0,0.0,0.0
2015,150.1336971.xml,1.0,58.0,2.0,1.0,1.0,0.0,1.0,9.0,2.0,2.0,1.0,9.0,3.0,4.0,4.0,0.0,26.0,5.0,0.0,1.0,1.0,1.0,9.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,3.0,0.0,3.0,233.0,7.0,7.0,1.0,9.0
2015,150.1337000.xml,1.0,61.0,2.0,1.0,1.0,0.0,1.0,9.0,2.0,2.0,1.0,9.0,1.0,4.0,4.0,0.0,11.0,2.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,1.0,0.0,1.0,253.0,7.0,7.0,1.0,9.0
2015,151.589259.xml,1.0,17.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,5.0,5.0,0.0,8.0,4.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,167.0,0.0,0.0,0.0,0.0
2015,151.589300.xml,1.0,17.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,176.0,1.0,1.0,1.0,1.0
2015,152.712787.xml,1.0,29.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,28.0,5.0,0.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,189.0,0.0,0.0,0.0,0.0
2015,152.712788.xml,1.0,29.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,28.0,5.0,0.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,189.0,0.0,0.0,0.0,0.0
2015,152.762173.xml,1.0,29.0,1.0,1.0,1.0,0.0,1.0,12.0,2.0,2.0,1.0,12.0,1.0,1.0,1.0,0.0,28.0,5.0,0.0,1.0,1.0,1.0,12.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,1.0,0.0,1.0,224.0,9.0,9.0,1.0,12.0
